timestamp_ms,ir_value,ir_filtered
10465.0,28631.0,-0.06107696878119986
10474.0,28611.0,-0.06644033729700452
10484.0,28603.0,-0.07123161739255685
10495.0,28599.0,-0.07541657330251972
10504.0,28611.0,-0.0789687749290523
10514.0,28618.0,-0.08186983534572959
10524.0,28632.0,-0.08410942805073389
10534.0,28660.0,-0.08568509433739724
10544.0,28683.0,-0.08660186097713977
10554.0,28704.0,-0.0868716976361619
10564.0,28722.0,-0.08651285091431486
10575.0,28739.0,-0.08554909462587407
10584.0,28740.0,-0.08400893377721798
10594.0,28749.0,-0.08192479437647103
10605.0,28759.0,-0.07933222409337594
10614.0,28762.0,-0.07626912238101917
10624.0,28768.0,-0.072775015111562
10635.0,28775.0,-0.06889038682233707
10644.0,28779.0,-0.06465608159863433
10654.0,28776.0,-0.060112781598589696
10665.0,28782.0,-0.05530056986104784
10674.0,28775.0,-0.05025858060108319
10684.0,28767.0,-0.04502473624970054
10695.0,28764.0,-0.03963556616395257
10704.0,28768.0,-0.03412609745095581
10715.0,28767.0,-0.028529806212290645
10724.0,28759.0,-0.022878618898068727
10734.0,28764.0,-0.01720295516253548
10745.0,28761.0,-0.011531803180459774
10754.0,28764.0,-0.005892817722474416
10764.0,28775.0,-0.0003124324519077769
10775.0,28774.0,0.00518401943092047
10784.0,28767.0,0.01057217935801349
10794.0,28764.0,0.015828535430870826
10805.0,28778.0,0.020930298701190488
10814.0,28773.0,0.025855292400541775
10824.0,28772.0,0.030581860861115796
10835.0,28796.0,0.035088801743071045
10844.0,28797.0,0.03935532287685554
10855.0,28794.0,0.0433610213916955
10865.0,28797.0,0.047085879990215
10874.0,28801.0,0.050510277345865315
10885.0,28804.0,0.05361501348892547
10895.0,28796.0,0.0563813519926117
10904.0,28803.0,0.05879108042845649
10915.0,28799.0,0.060826591537398216
10925.0,28804.0,0.06247098840341111
10934.0,28814.0,0.06370821580291253
10945.0,28810.0,0.0645232171833539
10954.0,28798.0,0.06490211428061919
10964.0,28822.0,0.06483240672404166
10975.0,28810.0,0.06430319086678012
10984.0,28812.0,0.06330539632796048
10994.0,28822.0,0.061832036385983453
11005.0,28818.0,0.05987846774667873
11014.0,28823.0,0.057442654836943545
11024.0,28825.0,0.054525432515409734
11035.0,28823.0,0.05113076060016673
11044.0,28821.0,0.04726596408936405
1055.0,28817.0,0.0429419541023715
11065.0,28832.0,0.038173426124045104
11074.0,28834.0,0.0329790317900925
11085.0,28814.0,0.027381517346218187
11095.0,28836.0,0.021407820253328463
11104.0,28828.0,0.015089117603309816
11115.0,28822.0,0.008460821697633505
11125.0,28838.0,0.0015625173358386594
11134.0,28836.0,-0.005562165223011448
11145.0,28839.0,-0.012865748593399999
11155.0,28843.0,-0.020297186796631297
11164.0,28841.0,-0.02780223312045704
11175.0,28829.0,-0.035323904250595985
11185.0,28843.0,-0.042803044161823414
11194.0,28832.0,-0.05017898777760257
11205.0,28818.0,-0.057390322550457264
11215.0,28805.0,-0.06437574384239789
11224.0,28773.0,-0.07107499340500595
11235.0,28732.0,-0.07742985976757723
11245.0,28709.0,-0.08338520720508237
11254.0,28673.0,-0.08888998857920953
11265.0,28652.0,-0.09389819095692972
11275.0,28652.0,-0.09836966374547076
11284.0,28651.0,-0.10227078655934499
11295.0,28654.0,-0.10557494739296544
11305.0,28669.0,-0.10826281739602989
11315.0,28681.0,-0.1103224218240103
11325.0,28709.0,-0.11174901716197272
11335.0,28722.0,-0.11254479393812021
11345.0,28746.0,-0.11271843293999508
11355.0,28755.0,-0.11228454742701569
11365.0,28775.0,-0.11126304473954214
11375.0,28787.0,-0.10967843883764644
11385.0,28791.0,-0.10755914266865411
11395.0,28796.0,-0.10493676589203439
11405.0,28806.0,-0.10184543843048448
11415.0,28810.0,-0.098321174943974
11425.0,28813.0,-0.09440129205472214
11435.0,28820.0,-0.0901238884137941
11445.0,28817.0,-0.08552739555650814
11455.0,28811.0,-0.08065020450477323
11465.0,28815.0,-0.07553036907298044
11475.0,28813.0,-0.0702053824099334
11485.0,28808.0,-0.06471202057541993
11495.0,28815.0,-0.05908624621854968
11505.0,28804.0,-0.05336316498747823
11515.0,28795.0,-0.047577026241467
11525.0,28812.0,-0.041761257626107814
11535.0,28808.0,-0.03594852176761509
11545.0,28803.0,-0.030170785574602316
11555.0,28805.0,-0.024459395899105833
11565.0,28807.0,-0.018845155060929663
11575.0,28810.0,-0.013358388080543382
11585.0,28823.0,-0.008028994607505379
11595.0,28820.0,-0.0028864820769679525
11605.0,28816.0,0.0020400203269523723
11615.0,28837.0,0.006721766974196521
11625.0,28829.0,0.011130421482216029
11636.0,28827.0,0.015238103348340219
11645.0,28837.0,0.019017455368003606
11655.0,28832.0,0.022441733179851705
11665.0,28832.0,0.025484919518061377
11675.0,28851.0,0.028121865108851524
11685.0,28842.0,0.030328456423704343
11695.0,28835.0,0.032081808170330815
11705.0,28849.0,0.03336047804210296
11715.0,28852.0,0.03414470341562528
11725.0,28845.0,0.03441665958868646
11735.0,28850.0,0.03416073637831506
11745.0,28848.0,0.03336382939790207
11755.0,28853.0,0.03201564391602045
11765.0,28856.0,0.03010900904333055
11775.0,28852.0,0.027640198028516954
11785.0,28845.0,0.024609249294731607
11795.0,28849.0,0.021020284119463675
11805.0,28859.0,0.016881818903900735
11815.0,28850.0,0.01220706913477458
11825.0,28858.0,0.0070142386167543255
11835.0,28850.0,0.001326785604348322
11845.0,28859.0,-0.004826341706578795
11855.0,28859.0,-0.011410507105130184
11865.0,28868.0,-0.01838523362809963
11875.0,28865.0,-0.025704106406376936
11885.0,28864.0,-0.033314742852890614
11895.0,28869.0,-0.04115884110201214
11905.0,28866.0,-0.04917231534529148
11915.0,28858.0,-0.05728552494520777
11925.0,28869.0,-0.06542360266650404
11935.0,28866.0,-0.07350688568827
11945.0,28864.0,-0.08145145284877425
11955.0,28868.0,-0.08916977234084197
11965.0,28867.0,-0.09657146346396174
11975.0,28849.0,-0.10356417407276243
11986.0,28851.0,-0.11005457209970644
11995.0,28831.0,-0.11594944405628599
12005.0,28805.0,-0.1211568869108822
12016.0,28783.0,-0.125587572644985
12025.0,28750.0,-0.12915605576700823
12035.0,28733.0,-0.13178208488576665
12046.0,28720.0,-0.133391874131706
12055.0,28709.0,-0.1339192908660872
12065.0,28704.0,-0.13330692196426833
12076.0,28723.0,-0.1315069893959047
12085.0,28725.0,-0.12848209574673897
12095.0,28738.0,-0.12420579172559935
12106.0,28756.0,-0.11866296773386356
12115.0,28765.0,-0.11185007772779622
12125.0,28783.0,-0.10377520725739717
12136.0,28802.0,-0.09445800017094552
12145.0,28810.0,-0.08392946014343029
12155.0,28820.0,-0.07223164382189554
12166.0,28833.0,-0.05941726092805966
12175.0,28839.0,-0.04554919328978601
12185.0,28847.0,-0.030699941678497957
12196.0,28860.0,-0.014951007225280803
12205.0,28859.0,0.0016077875464947401
12215.0,28845.0,0.018879035193325785
12226.0,28840.0,0.0367585394636339
12235.0,28834.0,0.055136181793557795
12245.0,28835.0,0.07389687636593337
12256.0,28876.0,0.09292163242884598
12266.0,28917.0,0.11208873326130542
12275.0,28976.0,0.13127502161179683
12285.0,29029.0,0.15035725637913658
12295.0,29065.0,0.16921348409978051
12305.0,29117.0,0.1877243594608781
12316.0,29161.0,0.20577435580930536
12326.0,29184.0,0.22325282750789338
12336.0,29203.0,0.24005491053693975
12345.0,29205.0,0.256082264683905
12355.0,29177.0,0.2712436677355579
12365.0,29171.0,0.28545547390795917
12376.0,29173.0,0.29864194919724135
12386.0,29159.0,0.3107354964999445
12396.0,29136.0,0.3216767833170454
12405.0,29126.0,0.3314147846314617
12415.0,29110.0,0.3399067531468977
12425.0,29098.0,0.3471181285099392
12436.0,29088.0,0.3530223964219299
12446.0,29079.0,0.3576009076979881
12456.0,29073.0,0.36084266636393386
12465.0,29074.0,0.36274409481492303
12475.0,29068.0,0.36330878290972285
12485.0,29064.0,0.3625472267561022
12496.0,29065.0,0.3604765621381449
12506.0,29064.0,0.35712029701093134
12516.0,29068.0,0.35250804645678596
12525.0,29066.0,0.34667527134816734
12535.0,29069.0,0.3396630193476118
